filename,caption,notes
54f68c60b94f6c24efa6290e04ce7d0b322bca68-4625x3083.png,"Members of the Minden Whippets volleyball team pile onto the court in celebration after winning the NSAA Class C-1 state championship at the Bob Devaney Sports Center in Lincoln, Neb. Top-seeded Minden defeated Wahoo in four sets on Nov. 9, 2024, to claim its second consecutive state title and finish the season 37-1.",Minden volleyball team celebrates after winning state volleyball championship nsaa
78e3e38c14f97db303e5531836e16126ab946b1e-2093x1674.png,"A Lincoln Southwest Silver Hawks guard wearing No. 12 celebrates after hitting a three-point shot, pumping his fist and sticking out his tongue as the home crowd cheers behind him. The Silver Hawks competed in the Class A boys basketball season at Lincoln Southwest High School in Lincoln, Neb.",#12 of incoln southwest celebrates a 3pt shot with his tounge out.
7fd38ef00121e364edae7688f37ef726b163fc82-5490x3088.png,"Nebraska’s Lishanna Ilves lands in the sand pit during the long jump competition at the Tyson Invitational, captured in a double-exposure image at the Randal Tyson Track Center in Fayetteville, Ark. Ilves, a jumper from Koeru, Estonia, competed for the Cornhuskers at the prestigious indoor track and field meet held Feb. 14-15, 2025.",Lishanna Ilves of nebraska competes in the long jump at the tyson invitational in arkansas 2025. double exposure
81d99a213f4e7038ed5d8e0cfda72582e8958ab5-5840x4672.png,"Lincoln Southwest Silver Hawks players celebrate on the court after winning the Class A District 3 championship game, with teammates flashing jubilant hand gestures toward the camera. The Silver Hawks upset Omaha Westside 57-55 on March 3, 2025, to qualify for just the second state tournament appearance in program history.","Lincoln southwest cleebrates after winning the district champ game, qualifiying them for state."
8af219a0dec41c2bdfa9a29698fa788a95c79f11-3222x2148.png,"A Stuart Broncos player embraces head coach Colin Schurman after winning the NSAA Class D-6 Six-Man State Championship at Ron and Carol Cope Stadium in Kearney, Neb. Stuart captured its first football state title in school history on Nov. 22, 2024, rallying from an 18-point deficit to defeat Sumner-Eddyville-Miller 42-38.",a Stuart player hugs head coach after winning the nsaa Class D-6 Six-Man State Championship
8c6094090f13db5ea88a61db40980b68361fcddc-4004x3203.png,"Nebraska distance runner Sam Kirchner high-fives a South Dakota competitor after finishing the 800-meter race at an indoor track meet at the Bob Devaney Sports Center in Lincoln, Neb. Kirchner, a Millard West High School product, ran for the Cornhuskers during the 2024-25 indoor season.",Sam Kirchner high fives a south dakota runner after a 800m race
9612d21b06f307a9002be3fe7088790d470b581f-3091x2061.png,"Nebraska center Braxton Meah hangs on the rim after throwing down a dunk over South Dakota defenders during a men’s basketball game at Pinnacle Bank Arena in Lincoln, Neb. The 7-foot-1 transfer from Washington scored 12 points, all on dunks, as the Cornhuskers defeated the Coyotes 96-79 on Nov. 27, 2024.",Braxton meah dunks in a game vs south dakota. nebraska basketball
9edea7f65c7776b757f57bbeffda75c12deab1a7-5722x3815.png,"Wahoo Warriors players line up in a V formation at the line of scrimmage during the NSAA Class C-1 State Championship game at Memorial Stadium in Lincoln, Neb. Wahoo’s dominant defense recorded a state-championship-record seven interceptions in a 47-7 rout of Central City on Nov. 26, 2024, securing the program’s second state football title.",Wahoo players line up in a V shape in the nsaa state championship game football
AF5I0271.jpg,"Nebraska senior guard Sam Hoiberg drives to the basket for a layup against Kansas State during the Hall of Fame Classic championship game at T-Mobile Center in Kansas City, Missouri. Hoiberg's free throw with 0.6 seconds remaining lifted Nebraska to an 86-85 win over Kansas State in the championship game of the Hall of Fame Classic on Friday, Nov. 21, 2025, giving Nebraska the Hall of Fame Classic title for the first time in program history.",Sam hoiberg goes for a layup vs k-state in HOF classic championship game. shot on fisheye with remote under basket
CRIB9348.png,"Two wrestlers grapple in silhouette on the mat at the Bob Devaney Sports Center during a dual between No. 2 Nebraska and No. 23 Army in Lincoln, Neb. The Cornhuskers dominated the Black Knights 33-3 in their home opener on Nov. 7, 2025.",A army wrestler wrestles a nebraska wrestler in sillowet at devaney nebraska
CRIB9566.png,"A Nebraska Cornhuskers wrestler spreads his arms in celebration on the red mat at the Bob Devaney Sports Center after winning his bout against Army. The No. 2 Huskers rolled past No. 23 Army 33-3 in their home opener in Lincoln, Neb., on Nov. 7, 2025.",A nebraska wrestler celebrates after a match win against army
DSC00662.jpg,"Nebraska Cornhuskers junior guard Cale Jacobsen (31) drives to the basket past a Kansas State Wildcats defender during the Hall of Fame Classic championship game at T-Mobile Center in Kansas City, Mo. Sam Hoiberg's free throw with 0.6 seconds remaining lifted Nebraska to an 86-85 win over Kansas State on Nov. 21, 2025, giving the Cornhuskers the Hall of Fame Classic title for the first time in program history.",cale jacobsen of nebraska goes for a layup vs k-state in the hall of fame classic champtionshp game shot on remote cam.
DSC02262.jpg,"A Lincoln Southwest Silver Hawks softball player weeps in the arms of teammates on the field at Bowlin Stadium in Lincoln, Nebraska, after the Silver Hawks clinched the Nebraska School Activities Association Class A state softball championship. Lincoln Southwest downed Millard North 4-2 to win the Class A title, with third-seeded Southwest capturing its first state championship since 2021 on Monday, Oct. 20, 2025.",a player cries looking into the camera after winning the nsaa softball championship game
ELI01781.jpg,"A Minnesota Golden Gophers player falls to the court as legs fly into the air during a rebound attempt against the Nebraska Cornhuskers at Williams Arena in Minneapolis, Minnesota. No. 7 Nebraska rallied from a 36-30 halftime deficit, with Pryce Sandfort scoring 20 of his game-high 22 points in the second half to power the Cornhuskers to a 76-57 win over the Gophers on Saturday, Jan. 24, 2026.",a minnesota players legs fly into the air after attempting a rebound in a game against nebraska at minnesota
ELI04696.jpg,"A Lincoln Southwest Silver Hawks player shouts into the visiting student section as fans surge toward him during a boys varsity basketball game against the Lincoln East Spartans at Lincoln Southwest High School in Lincoln, Nebraska. The Silver Hawks defeated the Spartans, 62-56, in a non-conference home opener on Friday, Dec. 5, 2025.",A lincoln southwest player yells into the opposing student section as they scream angry at him in a game vs southwest at southwest
ELI04743.png,"Members of the Nebraska Cornhuskers women’s cross country team run along a trail during an early morning training session in Lincoln, Neb.",The nebraska womens cross country runs by in a early morning training.
ELI06772.jpg,"Omaha Westside Warriors guard Donnie Barfield Jr. (5) hangs on the rim after shattering the backboard support during a thunderous dunk against the Lincoln Southwest Silver Hawks at Lincoln Southwest High School in Lincoln, Nebraska. Barfield's forceful jam broke the rim during the non-conference matchup on Saturday, Jan. 10, 2026, a contest between two of Nebraska's top-ranked Class A boys basketball programs.","omaha westside player breaks rim during dunk in a game vs lincoln southwest @ lsw
"
ELI08583.jpg,"Nebraska Cornhuskers senior forward Rienk Mast (51) spins past a Washington Huskies defender on a drive to the basket at Pinnacle Bank Arena in Lincoln, Nebraska. The Cornhuskers defeated the Huskies 76-66 on Wednesday, Jan. 21, 2026, extending Nebraska's winning streak to 23 games.",reink mast goes for a layup against washington. Spin move. Sweat flying through the air
ELIL2426.jpg,"Nebraska Cornhuskers men's basketball players stand in the tunnel at T-Mobile Center, watching the consolation game between New Mexico and Mississippi State before their championship matchup against Kansas State at the Hall of Fame Classic in Kansas City, Missouri. Nebraska defeated Kansas State 86-85 to win the Hall of Fame Classic title on Friday, Nov. 21, 2025, claiming the program's second in-season tournament championship in as many years.",nebraska players watch the current game waiting for their game in the tunnle at the ahll of fame classic.
ELIL4844.jpg,"Nebraska junior forward Pryce Sandfort embraces assistant coach Nate Loenser on the court at T-Mobile Center in Kansas City, Missouri, following the Cornhuskers' victory over Kansas State in the 25th Annual Hall of Fame Classic championship game on Friday, Nov. 21, 2025. Sandfort scored 21 points to help Nebraska edge Kansas State 86-85, winning the Hall of Fame Classic for the first time in program history. Sam Hoiberg's timely rebound and free throw gave Nebraska the title with 0.6 seconds remaining, extending the nation's longest active win streak to 10 straight games.",Pryce Sandfort of nebraska celebrates with assitsant coach nate after winning hall of fame classic vs kstate
ELIL6119.jpg,"Nebraska Cornhuskers senior guard Kendall Blue (2) reacts after hitting a three-pointer during a Big Ten men's basketball game against the Penn State Nittany Lions at Pinnacle Bank Arena in Lincoln, Nebraska. The ninth-ranked Cornhuskers defeated the Nittany Lions 87-64 on Saturday, Feb. 21, 2026, with Pryce Sandfort scoring a career-high 33 points, including eight three-pointers, to lead the rout.",Kendall blue celebrates a 3pt in a game against penn state.
IMG_0873.jpg,"A receiver in red leaps above a Wynot defender to make a one-handed catch during the Class D-2 eight-man state championship football game at Memorial Stadium in Lincoln. Wynot fell to O’Neill St. Mary’s in the record-breaking title game, which produced 131 combined points on Nov. 24, 2025.",A player makes an insane catch vs wynot in a nebraska state championship football game.
IMG_2985.jpg,"A receiver extends his arms to haul in a pass near the red zone during a Nebraska high school state championship football game at Memorial Stadium in Lincoln. The NSAA state football championship finals are held annually at the University of Nebraska’s Memorial Stadium, drawing teams from across the state.",A player catches a ball in a nebraska state championship football game
IZZY0381.png,"Nebraska Cornhuskers libero Laney Choboy lets out a scream after winning a set during a Big Ten match against the Rutgers Scarlet Knights at the Bob Devaney Sports Center in Lincoln, Neb. The No. 2 Huskers swept the Scarlet Knights 25-15, 25-16, 25-12 in front of 8,500 fans on Oct. 12, 2024.",laney choboy celebrates after a set winning set vs rutgers. shot from rafters.
IZZY0635.png,"Nebraska Cornhuskers libero Laney Choboy launches a serve over the red-and-white court logo at the Bob Devaney Sports Center in Lincoln, Neb. Choboy, a defensive specialist, helped anchor the back row for the No. 2-ranked Huskers during their 2024 Big Ten season.",laney choboy servers in a game vs rutgers. shot from rafters
SWRG3188.jpg,"Nebraska guard Jamarques Lawrence (10) dribbles after a loose ball as teammate Rienk Mast (51) reaches in to contest a Minnesota Golden Gophers player during a Big Ten Conference men's basketball game at Williams Arena in Minneapolis, Minnesota. Nebraska used a dominant second-half performance to erase a six-point halftime deficit and cruise to a 76-57 victory on Saturday, Jan. 24, 2026, moving to 20-0 on the season.",10 and 51 of nebraska go for a loose ball in a game against minnesota at minnesota
SWRG3978.jpg,"Nebraska guard Sam Hoiberg raises his arms toward fans while descending the tunnel stairs to the locker room at Williams Arena in Minneapolis, Minnesota. Nebraska defeated Minnesota 76-57 on Saturday, Jan. 24, 2026, improving to 20-0 on the season and 9-0 in Big Ten Conference play. Hoiberg scored all 14 of his points in the first half, making six of his eight shots, and finished with a game-high seven assists. The victory extended Nebraska's winning streak to 24 games, the longest active streak by a Big Ten team since Ohio State won 24 straight to open the 2010-11 season.",sam hoiberg points up at fans while walking down the stairs to the locker room after winning a game against minnestoa at minnesota
a09f5628d61b2c84084bfb07612fa16fc8543e90-4640x3712.png,"Nebraska freshman distance runner Riley Boonstra leans against a railing and catches his breath after competing in the mile at an indoor track meet at the Bob Devaney Sports Center in Lincoln, Neb. Boonstra, a four-time NSAA Class B state champion in the 1600 and 3200 meters at Norris High School, joined the Cornhuskers for the 2024-25 season.",Riley Boonstra lays on a pole after the mile race indoor track meet at nebraska
ac3f6f29eed4659741844925052f38cbeb207f97-4626x6939.jpg,"Lincoln High sprinter Zion Jenkins explodes out of the blocks during warmups for the 4x400-meter relay at the school’s outdoor track in Lincoln, Neb. Jenkins, competing under the stadium lights, prepared for one of the marquee relay events of the evening meet.",Zion Jenkins warms up for a 4x4 race at lincoln high outdoor track
b5cf79bc3779cf2ad90575f410f949d1078b5b3a-6972x4648.png,"Nebraska Cornhuskers forward Rienk Mast (51) raises his arms during pregame introductions at Pinnacle Bank Arena in Lincoln, Neb. Mast, a 6-foot-9 forward from the Netherlands, transferred to Nebraska from Bradley University ahead of the 2023-24 season.",rienk mast in pregame lines as he gets announced.
bb51062575ede91ac0ab26e621a4ad11f0dd32d1-5133x4106.png,"Nebraska guard Connor Essegian (0) celebrates after hitting a three-pointer in front of an Illinois defender during the Cornhuskers’ 80-74 overtime victory at Pinnacle Bank Arena in Lincoln, Neb. The win on Jan. 30, 2025, snapped a six-game losing streak for the Huskers and handed No. 18 Illinois its fifth conference loss of the season.",connor essegian makes a 3pt shot in a illinois players face and celebrates in his face.
bd5667bb01398c17cabe87ecd0a47cb47bec5a42-2758x2206.png,"A Lincoln High player loses the ball as a Lincoln Northeast defender contests the shot during a boys basketball game in Lincoln, Neb. The crosstown rivalry matchup featured physical play from both sides throughout the contest.",A lincoln high player loses a ball and his hair goes everywhere in a game vs lincoln northeast
bf3820740408187fa771971a571097bff7c90bd7-5568x3712.png,"Lincoln High cross country runner Trey Crabtree lies on the concrete after finishing the 5K race, his shoes cast aside beside him. Crabtree’s effort helped the Links qualify for the Nebraska state cross country championships as a team for the first time in more than a decade.","Trey crabtree lays on the ground after finishing in the 5k for lincoln high, qualifying them for state for the first time in over a decade"
ce30088528f0567ac303078a54387badf29ec619-4000x6000.png,"A University of Nebraska field athlete poses with a Gatorade drinking helmet during a lighthearted portrait session at the Huskers’ 2024 track and field media day in Lincoln, Neb. The annual event allowed athletes to showcase their personalities ahead of the indoor and outdoor seasons.",A nebraska field athlete poses for a photo during media day 2024
cef2bb83006e3c8d6ccf71a8aff590093e849723-2265x1812.png,"Nebraska Cornhuskers senior guard Brice Williams stands bathed in red light during pregame warmups before a game against Ohio State. Williams earned first-team All-Big Ten honors during the 2024-25 season, averaging over 18 points per game and setting a school single-game scoring record with 43 points in a double-overtime loss at Ohio State on March 4, 2025.",Bryce williams warms up before a game vs ohio state nebraska
d0824f3f0f7a1f0d649e68b87022d0063a358566-8195x5463.png,"A Nebraska Cornhuskers forward, sporting a black eye, sprints alongside a Maryland Terrapins defender as both chase a loose ball during a Big Ten women’s soccer match. The Terrapins defeated the Huskers 2-0 on Oct. 13, 2024, in College Park, Md., for Maryland’s first conference win in two years.",A nebraska player for womens soccer goes after a ball a maryland player has. The nebraska player has a black eye.
d2bf78ec4d751e30e05b935618b08688c45e963e-4409x2939.png,"University of Washington junior Sophie O’Sullivan celebrates as she crosses the finish line well ahead of the field to win the NCAA Division I women’s 1,500-meter final at Hayward Field in Eugene, Ore. O’Sullivan, the daughter of Irish Olympic silver medalist Sonia O’Sullivan, clocked 4:07.94 with a devastating 58.43-second final lap to claim the national title on June 14, 2025.","Sophie O’Sullivan celebrates after dominating 2025 NCAA 1500m final
"
d30f0f1c70ba626d5ba4189ffd826b0ccc309577-4001x2667.jpg,"Lincoln High Links players react on the field after a district tournament loss, with No. 6 staring skyward as teammates hunch over in dejection. The Links’ season ended in the Class A district tournament in Lincoln, Neb.",three lincoln high soccer players are sad after loosing in the district championship game.
d3258c4aa1c7f0cf6f5e4de60613b5865d05b879-7822x5215.png,"Nebraska boxer Jareese works on pad drills with his trainer inside the ring at a boxing gym as he prepares for an upcoming fight. The training session took place at a facility in Nebraska, where Jareese has been sharpening his skills ahead of his next bout.","Jareese, a boxer from nebraska trains in his facullty with his trainer for his upcoming fight."
d3722c5cbc4b49cc69fa323c597c10d3a785ba64-5996x3997.png,"Nebraska Cornhuskers forward Jared Garcia (15) rises for a breakaway dunk against No. 8 BYU during an exhibition game at Pinnacle Bank Arena in Lincoln, Neb. The Cornhuskers defeated the Cougars 90-89 on Oct. 18, 2025, in their lone preseason tune-up.",Jared Garcia of nebraska basketball goes for a dunk in the preseason game against BYU
ea1844603d1ad4e029951ecf75556835128d0e99-4833x3222.png,"Bradley University’s Jack Crull spreads his arms wide as he crosses the finish line to win his semifinal heat in the men’s 1,500 meters at the NCAA Outdoor Track and Field Championships at Hayward Field in Eugene, Ore. Crull, who entered the meet ranked 85th nationally, won his heat in 3:51.96 on June 11, 2025, and went on to finish sixth in the final to earn First Team All-American honors, the first for a Bradley male athlete in more than 70 years.",JACK CRULL of bradley celebrates after winning the preliminary mile race at the 2025 ncaa champs outdoors
ec4321854269b72b994d08d2951ee78d43cd19b4-6925x4617.jpg,"Silhouetted against a summer sky, young fans perch atop a chain-link fence to watch the action during social media influencer Cam Wilder’s basketball park takeover in Lincoln, Neb. The impromptu event on July 7, 2024, drew an estimated crowd of more than 1,000 people to the courts near South Street and Normal Boulevard before police shut it down due to safety concerns.","Kids sit on the top of a fence during cam wilders ""park takeover"" 2024 in lincoln ne"
ecd02d245bbe8414ab8c2171771521acedb32b01-2217x2771.png,"Nebraska Cornhuskers forward Juwan Gary (4) lets out a scream after a dunk during a Big Ten Conference game against Ohio State at Pinnacle Bank Arena in Lincoln, Neb. Gary scored 19 points as the Cornhuskers overcame an eight-point second-half deficit to defeat the Buckeyes 79-71 on Feb. 9, 2025.",Jwan Garry Celebrates after dunking against ohio state
f2a8e80964f052dcd3145c858c000eb1d145a623-2580x3225.png,"Nebraska Cornhuskers forward Juwan Gary (4) floats a shot over Ohio State defenders during a Big Ten Conference game at Value City Arena in Columbus, Ohio. Gary delivered a massive tomahawk dunk later in the contest, but the Buckeyes held on for a 78-69 victory on Feb. 29, 2024.",Jwan garry goes for a layup in a game vs ohio state 2024
f4e0d3698a28fefb2a761a827bd99fad8cdb079f-2207x3310.png,A Lincoln Southwest Silver Hawks receiver reaches for a pass that sails just beyond his fingertips during a regular-season game against Lincoln East. The two Lincoln rivals met during the 2024 Nebraska high school football season at Seacrest Field in Lincoln.,A lincoln southwest player misses a pass in a regular season game agasinst lincoln east
f853ad70c27bd118371e96cdc771789e70e50659-3174x2539.png,"University of Nebraska track and field athlete Rhianna Phipps peers through her raised hands to display her Big Ten championship ring during a 2025 media day portrait session in Lincoln, Neb. Phipps, a five-time USTFCCCA All-American, won the Big Ten outdoor triple jump title in 2024 with a personal-best mark of 43 feet, 11 3/4 inches.",Rhianna Phipps of nebraska poses showing off her big 10 championship long jump ring during 2025 track and field media day
fe17faa628b421cc0fd93598a8e263a4b5d0b505-7004x4669.png,"A dramatic sunset illuminates the sky over Beechner Athletic Complex as players from Lincoln High and Omaha South huddle on the pitch before a district championship boys soccer match in Lincoln, Neb. The two Class A programs, both perennial contenders in Nebraska high school soccer, faced off in a win-or-go-home district final.",The sky during the district championship game lincoln high vs omaha south
